nome,paese,regione,sub_regione,tipo_partecipazione,data_inizio,data_fine,personale_militare,personale_civile,personale_totale,costo_totale,tipo_missione,commitment
Base Gibuti,Djibouti,Sub-Saharan Africa,Non specificata,civmil,2014-01-01 00:00:00,2024-12-31 00:00:00,100.0,50.0,150,25000000,Bilateral,Troops
EUFOR RCA,Central African Republic,Sub-Saharan Africa,Non specificata,civmil,2014-06-15 00:00:00,2015-03-31 00:00:00,100.0,50.0,150,25000000,EU,Troops
EMOCHM,Mozambique,Sub-Saharan Africa,Non specificata,civmil,2014-08-24 00:00:00,2015-03-15 00:00:00,100.0,50.0,150,25000000,Bilateral,Troops
Prima Parthica,"Iraq, Kuwait",Middle East,Non specificata,civmil,2014-10-03 00:00:00,2024-12-31 00:00:00,100.0,50.0,150,25000000,Multinational,Troops
Frontiera Baltica,Lithuania,Rest of Europe,Non specificata,civmil,2015-01-01 00:00:00,2015-08-28 00:00:00,100.0,50.0,150,25000000,NATO,Troops
Resolute Support,Afghanistan,Asia,Non specificata,civmil,2015-01-01 00:00:00,2021-09-01 00:00:00,100.0,50.0,150,25000000,NATO,Troops
EUNAVFOR Med - Sophia,Mediterranean Sea,Northern Africa and Meditterranean,Non specificata,civmil,2015-05-18 00:00:00,2020-03-31 00:00:00,100.0,50.0,150,25000000,EU,Troops
Enhanced Forward Presence - Baltic Guardian Lettonia,Latvia,Rest of Europe,Non specificata,civmil,2016-01-01 00:00:00,2024-12-31 00:00:00,100.0,50.0,150,25000000,NATO,Troops
Ippocrate,Libya,Northern Africa and Meditterranean,Non specificata,civmil,2016-09-14 00:00:00,2017-12-31 00:00:00,100.0,50.0,150,25000000,Bilateral,Troops
Enhanced Air Policing Bulgaria,Bulgaria,Rest of Europe,Non specificata,civmil,2017-01-01 00:00:00,2017-12-31 00:00:00,100.0,50.0,150,25000000,NATO,Troops
Northern Ice,Iceland,Rest of Europe,Non specificata,civmil,2017-03-23 00:00:00,2017-04-14 00:00:00,100.0,50.0,150,25000000,NATO,Troops
Active Fence,Turkey,Rest of Europe,Non specificata,civmil,2018-01-01 00:00:00,2019-11-15 00:00:00,100.0,50.0,150,25000000,NATO,Troops
Baltic Eagle,Esthonia,Rest of Europe,Non specificata,civmil,2018-01-01 00:00:00,2018-05-03 00:00:00,100.0,50.0,150,25000000,NATO,Troops
MISIN Niger,Niger,Sub-Saharan Africa,Non specificata,civmil,2018-01-01 00:00:00,2024-12-31 00:00:00,100.0,50.0,150,25000000,Bilateral,Troops
Joint Operation Themis,Mediterranean Sea,Northern Africa and Meditterranean,Non specificata,civmil,2018-02-01 00:00:00,2020-12-31 00:00:00,100.0,50.0,150,25000000,EU,Troops
Northern Stork,Iceland,Rest of Europe,Non specificata,civmil,2018-09-13 00:00:00,2018-10-03 00:00:00,100.0,50.0,150,25000000,NATO,Troops
Enhanced Air Policing Romania,Romania,Rest of Europe,Non specificata,civmil,2019-01-01 00:00:00,2019-08-08 00:00:00,100.0,50.0,150,25000000,NATO,Troops
MIADIT Somalia,Somalia,Sub-Saharan Africa,Non specificata,civmil,2019-01-21 00:00:00,2024-12-31 00:00:00,100.0,50.0,150,25000000,Bilateral,Troops
NATO Standing Naval Forces Med,Mediterranean Sea,Northern Africa and Meditterranean,Non specificata,civmil,2019-06-01 00:00:00,2024-12-31 00:00:00,100.0,50.0,150,25000000,NATO,Troops
Northern Lightning I,Iceland,Rest of Europe,Non specificata,civmil,2019-09-27 00:00:00,2019-10-24 00:00:00,100.0,50.0,150,25000000,NATO,Troops
EUNAVFOR Med - Irini,Mediterranean Sea,Northern Africa and Meditterranean,Non specificata,civmil,2020-03-31 00:00:00,2024-12-31 00:00:00,100.0,50.0,150,25000000,EU,Troops
Northern Lightning II,Iceland,Rest of Europe,Non specificata,civmil,2020-06-07 00:00:00,2020-07-29 00:00:00,100.0,50.0,150,25000000,NATO,Troops
Task Force Takuba,Mali,Sub-Saharan Africa,Non specificata,civmil,2020-06-16 00:00:00,2022-07-01 00:00:00,100.0,50.0,150,25000000,Multinational,Troops
TASK Force CEDRI,Lebanon,Middle East,Non specificata,civmil,2020-08-15 00:00:00,2020-11-21 00:00:00,100.0,50.0,150,25000000,Bilateral,Troops
